bn:00046516n	[person, jemand, individuum, mensch, sterbliche, sterblicher, einzelperson, sterblich]	24989
bn:00023236n	[staat, nation, souveräner_staat, land, nationalstaat, gemeinwesen, volk, fortsetzerstaat, staatlich, staatlichkeit, staatsapparat, staatsgebilde, staatsidee, staatssystem, staatsverband, staatswesen, deklarative_theorie_der_staatlichkeit, national, nationen, politischen_gesellschaft, res_publica, souveränen_staaten, volkskörper]	22131
bn:03576260n	[kalenderdatum, datum, datumsangabe, tagesdatum, datumsformat]	5500
bn:00112923a	[unbekannt]	5345
bn:00082527v	[sagen]	5339
bn:00063739n	[möglichkeit, possibleness]	4628
bn:00085740v	[sich_gegenüberstellen]	3968
bn:00061450n	[volk, leute, menschen]	3897
bn:00076918n	[sache]	3449
bn:00007299n	[regime, behörden, regierung, régime]	3223
bn:00019319n	[metropole, stadt, großstadt, weltstadt, urbanes_zentrum]	3186
bn:00059480n	[organisation, organisatorisch, organisieren, organisierung, organisationen, einrichtung]	3173
bn:00088078v	[haben, verfügen]	3087
bn:00003341n	[vereinigte_staaten, usa, vereinigte_staaten_von_amerika, amerika, u.s.a., u.s., united_states_of_america, us, america, staaten, staaten_von_amerika, u._s., u._s._a., united_states, v._s., v._s._a., v.s., v.s.a., vereinigten_staaten_von_amerika, vs, vsa, u.s._of_a., us-amerikaner, us-amerikanisch, vereinigte_staaten_von_nordamerika, die_staaten, vereinigten_staaten]	2441
bn:00021286n	[unternehmen, kompanie, personenvereinigung, wirtschaft, betrieb, firma, geschäft, compagnie, mascopei, personenverband]	2316
bn:00096798a	[]	2140
bn:00093287v	[sagen]	2121
bn:00083370v	[glauben, denken, meinen, halten_für]	2035
bn:00060834n	[partei, politische_partei, parteien, partei_in_der_politik, parteien_in_der_politik, politische_parteien, mitgliederpartei, parteiorganisation, regierungspartei, wählerpartei, parteipolitik, politischen_parteien]	2029
bn:00085334v	[zu_tun]	2020
bn:00078738n	[jahr, ja!, gregorianische_jahr, ma, yr, zwölf_monate]	1995
bn:00104643a	[]	1925
bn:00114626r	[nur, bloß, lediglich, rein, schier, einfach]	1907
bn:06498512n	[staatliche_organisation]	1661
bn:00114246r	[auch]	1624
bn:00086682v	[wollen, begehren, wünschen]	1546
bn:00064914n	[provinz, staat, provinzen, provincia]	1526
bn:00110913a	[]	1511
bn:00082418v	[empfehlen, fordern]	1498
bn:00066414n	[realität, lebenswirklichkeit, real, realness]	1467
bn:00093430v	[sehen, erblicken]	1443
bn:00082705v	[nutzen, verwenden, benutzen, benützen, einsetzen, gebrauchen, nützen, beschäftigen, gelten]	1414
bn:00114165r	[später, nach, danach]	1399
bn:00092876v	[gleichen, ähneln]	1399
bn:00108011a	[anderen]	1366
bn:00087672v	[bedeuten, zur_folge_haben, einhergehen, mit_sich_bringen, implizieren]	1337
bn:00016756n	[volksrepublik_china, china, cathay, festlandchina, vr_china, chinesische_volksrepublik, kathai, rotchina, v.r._china, cataya, cathaia, chinesisches_festland, festland-china, festlandchinese, festlandschina, festlandschinese, kontinental-china, kontinentalchina, land_der_mitte, reich_der_mitte, rot-china, vrch, zhong_guo, zhongguo, das_kommunistische_china, prc, red_china]	1330
bn:00085261v	[wissen, kennen]	1218
bn:00046150n	[unmöglichkeit, impossibleness]	1200
bn:00097285a	[]	1158
bn:00106935a	[mehr]	1037
bn:00082844v	[versuchen, probieren]	1028
bn:00057820n	[ordinalzahl, limes-ordinalzahl, nachfolger-ordinalzahl, ordinalzahlen, ordnungstyp, limesordinalzahl, limeszahl, ordnungsisomorphie, ordnungstypus, nr., ordnungs-, ordnungszahl, ordnungszahlen]	1023
bn:00061135n	[prozent, prozentsatz, prozentualer_anteil, %, hundertsatz, hundertstel, perzent, prozentbasis, prozentfuß, prozentrechnung, prozentual, prozentwert, prozentzahl, relative_änderung, v._h., v.h., vom_hundert, vomhundertsatz, pct, pro_centum, prozentsätze]	1021
bn:00084700v	[bekommen, machen, verursachen]	1001
bn:00005732n	[streitkräfte, militär, armee, kriegsmaschinerie, militärmacht, streitkraft, streitmacht, truppen, hauptstreitmacht, militärisch, bewaffneten_widerstand, kriegsmaschine, militärische_zweig, militärmaschine, militärs]	985
bn:00114512r	[bevor, davor, vor, vorher, zuvor, früher]	975
bn:00083183v	[sein]	974
bn:00116284r	[]	972
bn:00032770n	[glaube, organisierte_religion, glauben, religion]	961
bn:00028114n	[dollar]	944
bn:00036837n	[funktionär, leitender_beamter, beambte, beamter, beamtin, funktionärin, hoher_beamter, leitende_beamtin, oberbeamter, spitzenbeamter, amtieren, amtsträger, beamten, gewählten_beamten, regierungsbeamten, wahlamt]	933
bn:00082822v	[erfordern, verlangen]	930
bn:00115244r	[]	914
bn:00045632n	[hypothese, hypothesen, hypothetisch, theorie, möglichkeit, theoretische, theorien, vermutet, wissenschaftliche_hypothese]	897
bn:00082481v	[helfen, assistieren, fördern, unterstützen, zu_unterstützen]	897
bn:00082690v	[scheinen, aussehen, erscheinen]	874
bn:00115253r	[jemals]	868
bn:00117043r	[so]	868
bn:00106408a	[viele]	860
bn:00065108n	[edition, verlagswesen, publikation, veröffentlichung, ausgabe, buchausgabe, printausgabe, publishing, buch-deal, veröffentlichen]	856
bn:00091493v	[zahlen, bezahlen]	851
bn:00086013v	[machen, produzieren, erzeugen, herstellen, zu_machen]	838
bn:00082276v	[erlangen, schöpfen, erwerben]	834
bn:00084699v	[tun, zu_machen]	834
bn:00066884n	[region, gebiet, gegend, raum, administrativen_regionen, regionen, verwaltungsbezirke]	817
bn:00084343v	[sterben, abkratzen, abnippeln, dahinscheiden, das_zeitliche_segnen, den_arsch_zukneifen, den_geist_aufgeben, den_löffel_abgeben, den_weg_alles_irdischen_gehen, die_augen_für_immer_schließen, draufgehen, entschlafen, heimgehen, hinscheiden, hops_gehen, in_die_ewigen_jagdgründe_eingehen, ins_gras_beißen, krepieren, sein_leben_aushauchen, verrecken, verscheiden, versterben, über_den_jordan_gehen, über_die_klinge_springen]	802
bn:00001533n	[mann, herr, kerl, mannsbild, mannsperson, erwachsenen_männlichen, geschlechtsreife, männer]	772
bn:00091116v	[]	762
bn:00047447n	[iran, islamische_republik_iran, persian, persien, dschomhūrī-ye_eslāmī-ye_īrān, iranisches_reich, irn, land_der_arier, shahtum_persien, wirtschaft_irans, جمهوری_اسلامی_ايران]	762
bn:00114073r	[etwa, ungefähr, mehr_oder_weniger, annähernd, circa, rund, so]	760
bn:00068622n	[russland, russische_föderation, russländische_föderation, rußland, rußländische_föderation, rossijskaja_federazija, россия, russian_federation, russischen_föderation]	749
bn:00116789r	[sehr]	742
bn:00013173n	[vereinigtes_königreich, großbritannien, vereinigtes_königreich_großbritannien_und_nordirland, großbritannien_und_nordirland, u.k., u._k., vereinigtes_königreich_von_großbritannien_und_nordirland, g._b., g._b._r., g.b., g.b.r., g_b, g_b_r, gb, gbr, u_k, uk, 🇬🇧, britisch, gb-ukm, grossbritannien_und_nordirland, united_kingdom, united_kingdom_of_great_britain_and_northern_ireland, vereinigtes_koenigreich]	738
bn:03330021n	[barack_obama, barack_h._obama, barack_hussein_obama, barack_hussein_obama,_jr., barack_hussein_obama_ii, obama, präsident_barack_obama, präsident_obama, us-präsident_barack_obama, us-präsident_obama]	736
bn:00032021n	[ereignis]	734
bn:00086455v	[kämpfen, widersetzen]	729
bn:00001530n	[frau, dame, frauenzimmer, weib, weibsperson, madam, erwachsenen_weiblichen, frauen]	727
bn:00083340v	[beginnen, anfangen, anheben, starten]	724
bn:00116382r	[heute, jetzt]	711
bn:00085459v	[zwingen]	707
bn:00090098v	[töten, umbringen, tödten, ermorden]	702
bn:00117138r	[noch]	698
bn:00048655n	[recht, gesetz, koordinationsrecht, subordinationsrecht, rechtsetzung]	696
bn:00094089v	[reden, sprechen]	694
bn:00107267a	[neu, neuen]	692
bn:00062759n	[plan, programm, programm-management, programm-manager]	672
bn:00082536v	[erlauben]	662
bn:00055644n	[geld, zaster, knete, kohle, moneten, schotter, zahlungsmittel, euronen, finanziell, geldbetrag, geldmittel, geldsorten, geldwesen, metallgeld, monetär, penunzen, öcken]	660
bn:00082839v	[]	654
bn:00048242n	[problem, problematik, problematisch, probleme, problemklärung, schwierigkeit]	642
bn:00041061n	[güte]	635
bn:00034004n	[mitglied, klubkamerad]	635
bn:00041942n	[gruppe]	632
bn:00005704n	[waffe, arm, waffenkunde, bewaffnung, strategische_waffe, taktische_waffe, waffen, waffensysteme, waffensystem]	632
bn:00098342a	[groß, großen]	631
bn:00000005n	[eins, 1, ein, １, tupel, ace, einheit, multiplikative_identität, n-tupel, sextuple]	620
bn:00018345n	[kind, minderjährige, minderjährigkeit, jugendliche, minderjährig, minderjähriger, minorennität, unter_18, junge, moll, tiddler]	619
bn:00029424n	[erde, welt, blauer_planet, erdkugel, weltkugel, sol_3, sol_iii, die_erde, erdkörper, terra, ⊕, ♁, 🌍, 🌎, 🌏, 🗺, energiehaushalt_der_erde, geschichte_der_erde, globaler_energiehaushalt, irdisch]	609
bn:00079080n	[uniform_resource_locator, url, universal_resource_locator, url-adresse, webadresse, web-adresse]	601
bn:00047688n	[angelegenheit]	596
bn:00085714v	[fortfahren, weitermachen, bewahren, erhalten, halten, weiterhin]	592
bn:00064234n	[präsident, präsidentin, präsidenten]	586
bn:00116290r	[]	571
bn:00002362n	[irak, republik_irak, al-iraq, al-ʿirāq, iraker, iraq, kutnutho_ĉiraq, ǧumhūriyyat_al-ʿirāq, ʿirāḳ, al-irak]	556
bn:00091028v	[brauchen, wollen]	553
bn:00022173n	[kontinent, erdteil, weltteil, interkontinental, kontinente]	547
bn:00069062n	[gleichartigkeit, gleichheit, identität]	545
bn:00089105v	[denken, glauben, meinen, mutmaßen, rechnen_mit, schätzen, vermuten, denke, nehme_an, vorstellen]	538
bn:00008985n	[haufen, menge, berg, ganze_reihe, heidengeld, masse, reihe, eine_ganz_kleine, guter_deal, hübsches_sümmchen, mickle, muckle, passel, viel]	538
bn:00088643v	[sorgen, liefern]	529
bn:00105294a	[international, internationalen]	527
bn:00012592n	[hombre, kerl]	526
bn:00116381r	[jetzt]	526
bn:00097165a	[]	521
bn:00022026n	[polizei, polizeibehörde, polizeiapparat, polizeikräfte, polizeitruppe, polizeidienst, polizeivollzugsdienst, sicherheitskräfte, bewaffneten_polizeiaufgebot, bewaffneten_polizisten, gendarmerie, police_department, police_force]	521
bn:00086600v	[gehen, abhauen, aufsuchen, fahren, fortgehen, verduften, weggehen]	516
bn:00047985n	[japan, land_der_aufgehenden_sonne, nihon, nippon, das_land_der_aufgehenden_sonne, jpn, rìběn, zipango, 日本]	511
bn:00065553n	[menge]	507
bn:00087128v	[arbeiten]	506
bn:00095572v	[wählen]	503
bn:00014138n	[job, beschäftigung, arbeit, beruf, anstellung, geschäft, stelle, tätigkeit, unternehmen, beschäftigungen, linie_von_arbeitsstationen, vakanz]	501
bn:00001961n	[behörde, büro, amt, autorität, bureau, kontor, koryphäe, regierungsbehörde, verwaltungsbehörde, agentur, staatliche_behörde, verwaltungsinstanz, amtszimmer, autoritär, bundesbehörde, bürokomplex, büros, regierungsbehörden]	500
bn:00029678n	[wirtschaft, wirtschaftssystem, ökonomie, wirtschaftssysteme, wirtschaftsfaktor, ländlichen_wirtschaft, volkswirtschaft, volkswirtschaften, wirtschaftlichen, wirtschaftsform]	499
bn:00010203n	[indien, bharat, republik_indien, ind, bharata_ganarajya, bhārat_gaṇarājya, geografie_indiens, geographie_indiens, indische_union, religion_in_indien, republic_of_india, भारत]	495
bn:00106953a	[meisten]	488
bn:00083293v	[ankommen, erreichen, gehen]	486
bn:00114234r	[ausschließlich, allein, nur]	483
bn:00054416n	[produkt, produktpalette, produktvielfalt, waren]	479
bn:00073699n	[team, arbeitsgruppe, brigade, jropp, mannschaft, teamfähigkeit, frauschaft]	478
